name,category,score,link,title
Mosia de la Tohani Shiraz Sweet DOC,Sobremesa,4,https://www.vivino.com/BR/pt-BR/domeniile-viticole-tohani-mosia-de-la-tohani-shiraz/w/7735595,"\nTohani Mosia de la Tohani Shiraz\n\n"
Alma Grande Reserva DOC,Tinto,3.7,https://www.vivino.com/BR/pt-BR/pt-caves-velhas-alma-grande-reserva/w/1304723,"\nCaves Velhas Alma Grande Reserva\n\n"
Casona Lopez Cabernet Sauvignon Old Vines,Tinto,3.4,https://www.vivino.com/BR/pt-BR/casa-mayor-old-vines-cabernet-sauvignon/w/1997483,"\nCasa Mayor Old Vines Cabernet Sauvignon\n\n"
Chateau Burgozone Marselan PGI,Tinto,3.8,https://www.vivino.com/BR/pt-BR/chateau-burgozone-marselan/w/2898059,"\nChâteau Burgozone Marselan\n\n"
Lopez Cabernet Sauvignon,Tinto,3.1,https://www.vivino.com/BR/pt-BR/lopez-cabernet-sauvignon/w/1770552,"\nLópez Cabernet Sauvignon\n\n"
Lopez Reserva Malbec,Tinto,3.8,https://www.vivino.com/BR/pt-BR/lopez-reserva-malbec/w/9880681,"\nLópez Reserva Malbec\n\n"
Mosia de La Tohani Special Reserve Feteasca Neagra DOC,Tinto,3.7,https://www.vivino.com/BR/pt-BR/domeniile-viticole-tohani-mosia-de-la-tohani-special-reserve-feteasca-neagra/w/2338888,"\nTohani Mosia de la Tohani Special Reserve Fetească Neagră\n\n"
Nobile Melnik,Tinto,3.8,https://www.vivino.com/BR/pt-BR/logodaj-melnik-nobile/w/1762587,"\nLogodaj Winery Nobile Melnik\n\n"
Timbrus Feteasca Neagra IGP,Tinto,3.9,https://www.vivino.com/BR/pt-BR/timbrus-purcari-estate-feteasca-neagra/w/6238013,"\nTimbrus Purcari Estate Fetească Neagră\n\n"
Timbrus Polifonia Note #2 PGI,Tinto,3.9,https://www.vivino.com/BR/pt-BR/timbrus-purcari-estate-polifonia-notes-2/w/6300488,"\nTimbrus Purcari Estate Polifonia Notes #2\n\n"
Timbrus Rara Neagra IGP,Tinto,3.6,https://www.vivino.com/BR/pt-BR/timbrus-purcari-estate-rara-neagra/w/6349258,"\nTimbrus Purcari Estate Rară Neagră\n\n"
Antawara Sauvignon Blanc,Branco,,https://www.vivino.com/BR/pt-BR/antawara-dom-sauvignon-blanc/w/7961860,"\nAntawara Dom Sauvignon Blanc\n\n"
Batista's Colheita Seleccionada Branco,Branco,,https://www.vivino.com/BR/pt-BR/s-joao-batista-serradayres-colheita-seleccionada-branco/w/8422354,"\nQuinta S. João Batista Serradayres Colheita Seleccionada Branco\n\n"
Empirico Feteasca Alba & Traminer,Branco,,https://www.vivino.com/BR/pt-BR/apriori-wine-empirico-feteasca-alba-traminer/w