name,category,vivino_score,vivino_link,vivino_title
Dog Crimes ''Cârnat'' Merlot,Tinto,3.7,https://www.vivino.com/BR/pt-BR/imperial-vin-dog-crimes-carnat-merlot/w/11981493, Imperial Vin Dog Crimes Cârnat Merlot
Dusha Monakha Cabernet Sauvignon,Tinto,3.8,https://www.vivino.com/BR/pt-BR/josh-cellars-cabernet-sauvignon/w/1141363, Josh Cellars Cabernet Sauvignon
Elements Tierra Multivintage DOP,Tinto,3.9,https://www.vivino.com/BR/pt-BR/ignacio-marin-elements-garnacha-carinena/w/6232223, Ignacio Marin Elements Tierra Earth Garnacha - Cariñena
Ionos Cabernet Sauvignon & Merlot,Tinto,null,https://www.vivino.com/BR/pt-BR/dialektos-oinos-cabernet-sauvignon-merlot-red-wine-v-2sarf/w/11410886, Dialektos Oinos Cabernet Sauvignon - Merlot
Irida Syrah PGI,Tinto,3.8,https://www.vivino.com/BR/pt-BR/cavino-irida-syrah-achaia/w/7453675, Cavino Irida Syrah
La Pietrosola Maremma DOC,Tinto,3.4,https://www.vivino.com/BR/pt-BR/canneta-la-pietrosola-sangiovese-maremma-toscana-maremma-toscana/w/8194025,\nCanneta La Pietrosola Sangiovese Maremma Toscana
Nemea Agiorgitiko PDO,Tinto,3.7,https://www.vivino.com/BR/pt-BR/gaia-nemea-agiorgitiko-by-gaia/w/1557062, Gaía Agiorgitiko by Gaia
Silver Diamond Butterfly Tempranillo DOC,Tinto,3.3,https://www.vivino.com/BR/pt-BR/bodegas-verduguez-silver-diamond-butterfly-tempranillo/w/1223276, Bodegas Verduguez Silver Diamond Butterfly Tempranillo
Villa Danastris Cabernet Sauvignon Limited Edition,Tinto,4,https://www.vivino.com/BR/pt-BR/carlevana-villa-danastris-special-edition-cabernet-sauvignon/w/11571210, Carlevana Villa Danastris Special Edition Cabernet Sauvignon
Hidalgo Castilla Chardonnay DOC,Branco,3.6,https://www.vivino.com/BR/pt-BR/hidalgo-castilla-chardonnay/w/3740096, Hidalgo Castilla Chardonnay
Hidalgo Castilla Verdejo DOC,Branco,3.6,https://www.vivino.com/BR/pt-BR/hidalgo-castilla-verdejo/w/2378712, Hidalgo Castilla Verdejo
Vasco Viejo White Blend,Branco,null,https://www.vivino.com/BR/pt-BR/viejo-rincon-white-blend-mendoza/w/10892410, Viejo Rincon White Blend
Empirico Saperavi & Pinot Noir Rosé (Rosé),Rosé,3.9,https://www.vivino.com/BR/pt-BR/emma-reichart-pinot-noir-rose/w/5486104, Emma Reichart Pinot Noir Rosé
Eu Passarinho Rose ''Sur Lie'' Edição Super Limitada (Rosé),Rosé,3.9,https://www.vivino.com/BR/pt-BR/garbo-rio-grande-do-sul-evoluto-rose-sur-lie/w/9284232, Garbo Evoluto Rosé Sur Lie
Faustino VII Rosado DOC (Rosé),Rosé,3.6,https://www.vivino.com/BR/pt-BR/bodegas-faustino-rioja-vii-rosado/w/22350, Bodegas Faustino VII Rosado
Lozco Rose PGI (Rosé),Rosé,3.9,https://www.vivino.com/BR/pt-BR/cote-des-roses-rose/w/3180824, Côte des Roses Rosé
Deus Natural Semisparkling Rosé PGI,Espumante,3.9,https://www.vivino.com/BR/pt-BR/robertson-natural-sweet-rose/w/1148944, Robertson Winery Natural Sweet Rosé
Deus Natural Semisparkling White PGI,Espumante,3.5,https://www.vivino.com/BR/pt-BR/cavino-deus-semi-sparkling-white/w/2850548, Cavino Deus Semi Sparkling White
Marina Blanc de Blancs Brut DOC,Espumante,3.7,https://www.vivino.com/BR/pt-BR/sainte-rose-blanc-de-blancs-brut/w/1978559, Sainte Rose Blanc de Blancs Brut